t,y,x,vertex_id,is_tip,origin,vertex_connected
500,433,929,304,1,0,0
500,436,407,308,1,0,0
500,437,302,310,1,0,0
500,438,433,313,1,0,0
500,439,761,317,1,0,0
500,439,957,318,1,0,0
500,440,579,319,1,0,0
500,442,963,324,1,0,0
500,443,476,326,1,0,0
500,443,570,327,1,0,0
500,444,966,329,1,0,0
500,446,234,333,1,0,0
500,446,253,334,1,0,0
500,446,311,335,1,0,0
500,447,796,338,1,0,0
500,448,494,341,1,0,0
500,449,570,344,1,0,0
500,450,593,347,1,0,0
500,451,406,349,1,0,0
500,452,275,350,1,0,0
500,452,403,351,1,0,0
500,452,476,353,1,0,0
500,453,265,355,1,0,0
500,454,481,356,1,0,0
500,455,200,359,1,2,0
500,455,776,361,1,0,0
500,456,254,362,1,0,0
500,456,567,365,1,0,0
500,458,231,368,1,0,0
500,459,219,370,1,0,0
500,459,254,372,1,0,0
500,460,203,376,1,2,0
500,460,422,377,1,0,0
500,462,745,381,1,0,0
500,463,217,382,1,2,0
500,464,877,390,1,0,0
500,466,210,392,1,2,0
500,466,445,395,1,0,0
500,467,335,398,1,0,0
500,468,205,399,1,2,0
500,469,564,407,1,0,0
500,471,247,410,1,0,0
500,472,753,415,1,0,0
500,473,242,418,1,0,0
500,473,457,419,1,0,0
500,474,299,424,1,0,0
500,474,744,427,1,0,0
500,475,310,432,1,0,0
500,475,557,433,1,0,0
500,476,771,436,1,0,0
500,477,594,438,1,0,0
500,477,647,439,1,0,0
500,479,1114,445,1,0,0
500,481,219,450,1,2,0
500,481,599,451,1,0,0
500,482,256,455,1,0,0
500,483,241,458,1,0,0
500,483,757,461,1,0,0
500,484,370,463,1,0,0
500,485,343,465,1,0,0
500,485,1116,469,1,0,0
500,486,299,470,1,0,0
500,488,813,476,1,0,0
500,488,874,477,1,0,0
500,489,232,479,1,2,0
500,489,658,483,1,0,0
500,490,497,487,1,0,0
500,491,580,489,1,0,0
500,491,1132,491,1,0,0
500,493,766,497,1,0,0
500,493,1137,498,1,0,0
500,494,630,501,1,0,0
500,495,458,505,1,0,0
500,495,1139,508,1,0,0
500,496,1019,515,1,0,0
500,497,514,517,1,0,0
500,500,489,529,1,0,0
500,500,952,532,1,0,0
500,501,259,533,1,0,0
500,501,487,534,1,0,0
500,501,795,536,1,0,0
500,503,363,540,1,0,0
500,503,817,544,1,0,0
500,503,1057,546,1,0,0
500,504,1134,547,1,0,0
500,507,750,558,1,0,0
500,507,954,560,1,0,0
500,507,1022,561,1,0,0
500,507,1116,562,1,0,0
500,509,260,564,1,0,0
500,509,268,566,1,0,0
500,509,1144,571,1,0,0
500,513,258,579,1,0,0
500,514,282,582,1,0,0
500,514,955,585,1,0,0
500,515,765,588,1,0,0
500,516,273,591,1,0,0
500,516,338,592,1,0,0
500,521,1064,604,1,0,0
500,522,672,607,1,0,0
500,523,1266,610,1,2,0
500,524,442,613,1,0,0
500,526,1335,622,1,2,0
500,527,229,623,1,2,0
500,527,334,625,1,0,0
500,527,376,626,1,0,0
500,528,1077,631,1,0,0
500,529,302,632,1,0,0
500,529,1303,635,1,2,0
500,531,397,640,1,0,0
500,532,274,643,1,0,0
500,532,536,644,1,0,0
500,532,717,645,1,0,0
500,532,727,646,1,0,0
500,532,1332,648,1,2,0
500,533,901,654,1,0,0
500,534,395,657,1,0,0
500,534,1079,660,1,0,0
500,534,1138,661,1,0,0
500,535,898,667,1,0,0
500,537,343,674,1,0,0
500,537,457,676,1,0,0
500,537,831,678,1,0,0
500,538,837,683,1,0,0
500,539,407,686,1,0,0
500,539,1021,689,1,0,0
500,540,270,691,1,0,0
500,540,469,692,1,0,0
500,540,853,693,1,0,0
500,540,973,695,1,0,0
500,541,332,698,1,0,0
500,541,941,699,1,0,0
